label,r
24T1,0
24T1,24
24T2,0
24T2,24
24T3,0
24T3,24
24T4,0
24T4,24
24T6,0
24T7,24
24T16,0
24T16,24
24T17,0
24T17,12
24T18,24
24T19,0
24T21,4
24T21,24
24T22,2
24T23,24
24T24,4
24T24,24
24T25,0
24T25,24
24T26,8
24T26,24
24T28,0
24T28,4
24T28,24
24T29,0
24T29,24
24T30,0
24T30,24
24T31,4
24T31,24
24T32,0
24T32,8
24T32,24
24T33,4
24T33,24
24T34,0
24T34,2
24T34,24
24T35,2
24T35,24
24T36,2
24T37,0
24T37,24
24T38,24
24T39,0
24T39,12
24T39,24
24T41,24
24T42,6
24T46,24
24T47,24
24T48,24
24T49,0
24T49,8
24T50,0
24T51,8
24T51,24
24T52,24
24T54,24
24T55,8
24T56,0
24T57,0
24T57,24
24T58,8
24T58,24
24T59,0
24T59,24
24T60,0
24T60,24
24T62,24
24T63,0
24T63,24
24T65,0
24T66,0
24T66,24
24T67,0
24T70,0
24T71,0
24T71,24
24T72,0
24T72,24
24T73,0
24T74,0
24T74,24
24T75,0
24T77,0
24T78,0
24T78,24
24T79,0
24T79,24
24T80,0
24T80,24
24T81,24
24T85,8
24T86,8
24T86,24
24T88,0
24T89,8
24T90,24
24T92,12
24T92,24
24T93,0
24T93,24
24T94,24
24T97,0
24T97,12
24T101,0
24T101,4
24T101,24
24T102,0
24T102,4
24T102,24
24T103,4
24T104,4
24T104,24
24T105,24
24T106,0
24T106,24
24T107,0
24T107,24
24T108,0
24T108,24
24T109,0
24T109,24
24T110,2
24T110,24
24T112,12
24T112,24
24T113,0
24T113,24
24T114,0
24T114,24
24T117,0
24T118,0
24T119,0
24T119,24
24T120,12
24T121,0
24T122,24
24T123,24
24T124,0
24T125,0
24T126,4
24T128,4
24T128,24
24T129,24
24T130,24
24T131,0
24T131,24
24T132,0
24T132,24
24T133,16
24T134,8
24T134,24
24T135,16
24T136,0
24T136,8
24T136,24
24T137,0
24T137,24
24T138,0
24T138,24
24T139,0
24T139,2
24T139,24
24T141,2
24T141,24
24T142,2
24T144,4
24T145,0
24T145,4
24T146,0
24T146,4
24T147,0
24T149,4
24T153,4
24T157,0
24T161,0
24T162,24
24T163,0
24T163,8
24T164,0
24T164,4
24T166,24
24T167,24
24T169,24
24T170,0
24T171,4
24T172,0
24T172,24
24T173,16
24T174,0
24T176,16
24T176,24
24T177,0
24T177,8
24T177,24
24T178,0
24T178,24
24T180,0
24T181,0
24T182,0
24T182,24
24T183,0
24T184,0
24T186,0
24T187,0
24T188,4
24T189,0
24T189,24
24T190,4
24T190,24
24T192,4
24T193,24
24T194,0
24T195,24
24T196,4
24T196,24
24T197,0
24T197,24
24T198,0
24T199,0
24T200,24
24T201,24
24T202,0
24T203,0
24T205,24
24T206,0
24T206,24
24T207,0
24T207,24
24T212,24
24T213,0
24T213,24
24T214,0
24T214,24
24T215,24
24T216,8
24T216,24
24T218,0
24T218,6
24T218,24
24T219,2
24T220,2
24T220,24
24T221,0
24T222,0
24T222,24
24T223,0
24T223,24
24T224,8
24T225,0
24T225,24
24T227,0
24T228,0
24T228,24
24T229,0
24T229,24
24T230,24
24T231,0
24T231,24
24T232,8
24T233,0
24T233,24
24T234,0
24T234,24
24T235,0
24T236,0
24T236,24
24T237,0
24T237,24
24T238,0
24T239,8
24T240,0
24T240,24
24T241,24
24T242,8
24T243,4
24T243,24
24T244,0
24T244,8
24T244,24
24T245,24
24T246,0
24T246,24
24T247,0
24T247,24
24T249,8
24T249,24
24T250,0
24T250,24
24T251,0
24T251,4
24T252,0
24T252,24
24T253,24
24T254,12
24T254,24
24T255,24
24T256,8
24T257,24
24T258,0
24T258,24
24T260,0
24T260,24
24T261,0
24T261,12
24T261,24
24T262,0
24T263,0
24T264,0
24T265,0
24T265,24
24T266,24
24T269,0
24T270,0
24T270,24
24T271,24
24T272,0
24T272,24
24T273,0
24T273,24
24T274,4
24T274,24
24T275,0
24T276,0
24T276,24
24T277,24
24T278,24
24T279,6
24T280,2
24T280,24
24T281,4
24T281,24
24T411,0
24T412,0
24T576,4
24T1151,2
24T1353,4
24T2787,2
24T7817,0
24T10255,0
24T10255,2
24T25000,0
