label,t,r,accepted_rows,scoreable_rows_in_local_snapshot,representative_sha256,submission_id,polynomial_index
24T1,1,0,122,0,640b4c220c89adce96530eb5ea5140b58c0c5fd1ba983e14be1bfaa76016cd9d,sub_958958100efa428ebc975cf15b07e56e,0
24T1,1,24,176,0,9f19a7d91a1bbc60237fd7aa572329520c180b1dcfd91fbf32e04d86e2493ba3,sub_78e938b3d43a41caa5464f735b39de1c,9
24T2,2,0,2910,0,6283c09816752ad2b8f7bd1f96e9066904b66ea2864bd795c73193bc3e368c71,sub_b8b6dc8939c74f23a6cdb6118d45b225,300
24T2,2,24,846,0,9e9840d01cf01aa1e0fd60db86b88d8be3bb6eeebe25d3fedd3e4c98d57192db,sub_5d609a731c0945f380c90817d2380290,12
24T3,3,0,2604,0,2ac6a1a4c6e1becdb003f0af6d69b8a85dbd6a5f054b34c9e622d87fad477906,sub_01b8aec7263642168f7c06c83a2d469b,132
24T3,3,24,195,0,07e76bf249b09ee0608384c0ca303147931b5b769475086966eb7fbaa1fd7493,sub_baf7e415263c460ebb43ed34c19dc49e,456
24T4,4,0,3,0,3806e0fe328f99d85971e11010010d2f4dd8a3f8f7b67f3981ca2d9623c7a385,sub_c1e60dd19ec5498eb57e8aeb627f3c26,154
24T4,4,24,6,0,6b05d12f659adc3879342c6b4b43febb54e6393c67456fee47453d89e4588c61,sub_efc20936063a4dfdb4c09638c305f955,27
24T5,5,24,1,1,2e14518385fa46ff2f8912b7f596274308c79104c04674fcc9e1d9a19b092d34,sub_ceb4105427054c16a985d54432b836f0,56
24T6,6,0,21,4,0732db04372cdde66040f80353b588c154445debd289b021b8d037d70f6e406c,sub_90bbfa2694e645a09eb7e69957b4e11e,87
24T6,6,24,5,5,8444d48291569db88ad8d3a0466962defe03c7e21bd62bba2857c706c38eb5bd,sub_5d609a731c0945f380c90817d2380290,104
24T7,7,24,2,0,0fa320da0f6f53f9607fa23356c0385c275df0351a3051d3e84347eeedf55d95,sub_ec09757165e2473eb0202bd980dd504d,0
24T9,9,0,20,20,d9acf154852c0fa793761b5d73563b4d5dd41898a2e4e0810dc6ea25ed01c11e,sub_78e938b3d43a41caa5464f735b39de1c,10
24T9,9,24,12,12,d0fd6cc9aa54c00cdaf943f63ef4da2ced6b9408c16f78b721b4b200d6c55f00,sub_e2cc372b64514a4a873f811493d2192e,22
24T11,11,0,38,38,0ad207b55f8b7a287f1cb1aca0eb3f884a7590ac73961bc1edb14439801fc488,sub_4e318a39aac0481daaa2dad8eeed07db,20
24T11,11,24,1,1,febb5bb826c4684963cc5f6ad400621e3131be8f3f3c1330a1c9875a6c586c9b,sub_5d609a731c0945f380c90817d2380290,53
