label,r
24T134,0
24T143,8
24T160,8
24T175,8
24T318,24
24T350,12
24T359,0
24T359,24
24T396,24
24T418,8
24T420,8
24T435,0
24T437,8
24T609,0
24T618,4
24T640,24
24T647,24
24T656,0
24T656,24
24T754,0
24T827,0
24T827,8
24T867,0
24T867,8
24T906,4
24T954,0
24T1013,0
24T1076,16
24T1119,12
24T1135,0
24T1135,8
24T1141,4
24T1141,12
24T1209,0
24T1218,12
24T1235,0
24T1256,0
24T1257,8
24T1257,24
24T1263,4
24T1380,24
24T1421,0
24T1430,0
24T1462,12
24T1675,0
24T1675,12
24T1687,0
24T1687,4
24T1694,24
24T1696,12
24T1705,8
24T1723,0
24T1731,0
24T1731,4
24T1741,12
24T1743,4
24T1752,0
24T1757,4
24T1757,8
24T1780,0
24T1822,0
24T1844,24
24T1847,0
24T1877,4
24T1883,0
24T1894,0
24T1911,24
24T1912,0
24T1924,16
24T1926,4
24T1937,0
24T1971,0
24T2072,8
24T2173,0
24T2206,0
24T2213,0
24T2213,4
24T2213,8
24T2213,24
24T2227,24
24T2290,16
24T2309,4
24T2309,12
24T2309,24
24T2323,8
24T2492,0
24T2495,8
24T2501,8
24T2515,0
24T2515,24
24T2537,4
24T2546,24
24T2547,8
24T2547,16
24T2547,24
24T2548,8
24T2596,8
24T2726,6
24T2744,24
24T2950,24
24T2965,24
24T2974,0
24T2984,24
24T3001,16
24T3051,4
24T3058,8
24T3060,0
24T3093,8
24T3093,16
24T3093,24
24T3137,4
24T3149,0
24T3163,0
24T3163,8
24T3163,24
24T3164,4
24T3194,4
24T3293,0
24T3334,0
24T3360,0
24T3485,4
24T3505,0
24T3509,8
24T3631,4
24T3646,0
24T3646,4
24T3646,8
24T3675,0
24T3841,4
24T3841,24
24T3889,4
24T3936,0
24T4017,24
24T4018,0
24T4151,8
24T4258,8
24T4357,0
24T4418,4
24T4418,8
24T4424,4
24T4424,8
24T4430,8
24T4434,0
24T4492,24
24T4533,8
24T4546,8
24T4651,24
24T4670,24
24T4679,0
24T4686,24
24T4701,0
24T4701,24
24T4718,24
24T4727,24
24T4737,8
24T4743,8
24T4752,16
24T4752,24
24T4806,0
24T4807,0
24T5056,24
24T5199,24
24T5365,4
24T5375,2
24T5379,8
24T5384,0
24T5429,4
24T5429,20
24T5430,24
24T5457,4
24T5542,0
24T5544,0
24T5548,0
24T5580,0
24T5596,24
24T5613,4
24T5615,8
24T5618,0
24T5618,24
24T5627,16
24T5637,0
24T5656,0
24T5656,24
24T5667,0
24T5667,8
24T5674,16
24T5683,0
24T5705,0
24T5710,0
24T5719,8
24T5731,0
24T5768,12
24T5771,24
24T6012,4
24T6017,0
24T6028,8
24T6058,4
24T6058,8
24T6092,0
24T6112,0
24T6155,4
24T6173,8
24T6174,4
24T6189,0
24T6206,8
24T6240,8
24T6253,0
24T6304,4
24T6334,8
24T6426,0
24T6534,24
24T6561,4
24T6610,0
24T6611,8
24T6681,16
24T6722,12
24T6724,24
24T6796,16
24T6801,0
24T6812,0
24T6852,0
24T6859,0
24T6861,0
24T6908,4
24T6908,8
24T7086,0
24T7110,12
24T7115,8
24T7115,24
24T7128,24
24T7175,0
24T7184,0
24T7188,0
24T7334,8
24T7334,24
24T7392,8
24T7935,16
24T7937,16
24T7938,12
24T7938,20
24T7950,20
24T7959,20
24T8016,4
24T8022,20
24T8026,8
24T8056,0
24T8083,0
24T8174,0
24T8264,16
24T8328,0
24T8329,4
24T8338,4
24T8343,16
24T8394,24
24T8395,8
24T8435,4
24T8466,4
24T8469,6
24T8493,12
24T8555,16
24T8563,16
24T8637,4
24T8659,16
24T8662,8
24T8823,8
24T8948,0
24T8957,24
24T8960,24
24T8965,0
24T8969,24
24T8970,24
24T9050,8
24T9059,4
24T9140,8
24T9146,12
24T9218,8
24T9257,0
24T9258,12
24T9298,8
24T9343,12
24T9738,0
24T9738,24
24T9777,8
24T10172,0
24T10172,8
24T10172,16
24T10172,24
24T10173,24
24T10280,4
24T10415,0
24T10422,16
24T10507,12
24T10507,16
24T10518,0
24T10649,8
24T10676,4
24T10727,4
