label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T5,5,24,0.0,27,41854041915994688377922999984608049400643584,41854041915994688377922999984608049400643584,exact_nfdisc,True,,
24T6,6,24,0.0,42,10072680467275913619308544000000000000000000,2459150504706033598464000000000000000000,exact_nfdisc,True,,
24T9,9,0,0.0,66,146159974345395145491349504,146159974345395145491349504,exact_nfdisc,True,,
24T9,9,24,0.0,51,11163838182253791759302656000000000000,11163838182253791759302656000000000000,exact_nfdisc,True,,
24T11,11,0,0.0,71,93703341895520256000000000000,6439244623474658374808764416,exact_nfdisc,True,,
24T11,11,24,0.0,54,28273563576220552539381170176000000000000,1426038947056125649777408187740880633856,exact_nfdisc,True,,
24T12,12,0,0.0,66,7771777977679620892140280190984356102144,33000200273990631103515625,exact_nfdisc,True,,
24T12,12,24,0.0,53,238572391654205440000000000000000000000,915071698198440000000000000000000000,exact_nfdisc,True,,
24T13,13,0,0.0,41,4900598675564155653248054187510647058595840000000000000000,305156700862461221007453129,exact_nfdisc,True,,
24T13,13,24,0.0,34,11800796361387433579442346912309730710252011962890625,18757606562666561641793258122999942414336,exact_nfdisc,True,,
24T14,14,0,0.0,55,2158924997272786698240000000000000000,50214854027536000000000000,exact_nfdisc,True,,
24T14,14,24,0.0,42,653969404937417005905046874759500771885056,3846587110530618025492804725632925696,exact_nfdisc,True,,
24T15,15,0,0.0,68,30913158827439060959688489,30913158827439060959688489,exact_nfdisc,True,,
24T15,15,24,0.0,53,255336658838378921287091712695888808270459044861128474624,142788023107057761064160423495860224,exact_nfdisc,True,,
24T17,17,24,0.0,38,8701280661006219624763387714119646838784,1216317681592371164083264000000000000,exact_nfdisc,True,True,11301171826054178652260577316831614175316803584
24T18,18,0,0.0,39,42247883974617233597120303333376,13817119982545834868736000000,exact_nfdisc,True,True,78755763887232427264593811889952129024
24T18,18,12,4e-06,19,441774430878446133427830784000000000000,329425811351438400000000000000000000,exact_nfdisc,True,,
24T20,20,0,1.4e-05,17,11331765525685402821722112000000000000000000000,2766544317794287798272000000000000000000000,exact_nfdisc,True,,
24T23,23,0,2.6e-05,16,5287094430615384550826573824000000000000,8001284022258550209391705410502656,exact_nfdisc,True,,
24T23,23,4,0.000112,14,173047332760032188813804762453508096,215892499727278669824000000000000,exact_nfdisc,True,True,708801874985091845381344307009569161216
24T27,27,0,0.0,68,21519092860393717288970947265625,2621440000000000000000000000,exact_nfdisc,True,True,177200468746272961345336076752392290304
24T27,27,8,0.0,43,303256405652583481344000000000000000000,671088640000000000000000000000,exact_nfdisc,True,True,708801874985091845381344307009569161216
24T27,27,24,0.0,44,25567174371986127192064000000000000000000,361030469042883240000000000000000000000,exact_nfdisc,True,True,4130428534112329328517709824000000000000000000
24T38,38,0,0.0,56,204680265084653369536039829769,5483282787551464755073908736,exact_nfdisc,True,True,92534566049630892119774472900390625
24T38,38,12,0.0,57,11935913115234869169771450911000887296,22459526297810799636782730182656,exact_nfdisc,True,True,10314424798490535546171949056000000000000
24T40,40,24,0.0,33,1302494390510823419107512543394507305497225330688,7310146442712301623383986279280647709709,exact_nfdisc,True,True,74743431744677951481904283940624161207294128816128
24T44,44,0,0.0,23,820684574695639073450250000000000000000,806934886999696752424783366864306176,exact_nfdisc,True,True,10072680467275913619308544000000000000000000
24T44,44,12,0.0,26,1453892785832381052600598340250000000000000000,588255532622778932517667074444079202304,exact_nfdisc,True,True,2578606199622633886542987264000000000000000000
